,Latitude,Longitude,Class,EventDays,EventStart,EventEnd,Event_Days,EventLabel,OutsideEvent
13.18_59.96,59.95694444,13.18472222,4.0,14.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
17.72_59.96,59.95694444,17.71805556,4.0,15.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
10.77_59.83,59.83194444,10.76805556,4.0,17.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
15.18_59.83,59.83194444,15.18472222,4.0,17.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
12.68_59.71,59.70694444,12.68472222,4.0,16.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
17.2_59.71,59.70694444,17.20138889,4.0,15.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
11.16_59.58,59.58194444,11.1625,6.0,13.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
15.72_59.58,59.58194444,15.71527778,4.0,16.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
26.68_59.53,59.53194444,26.67916667,3.0,11.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
9.94_59.46,59.45694444,9.9375,3.0,11.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
14.56_59.46,59.45694444,14.55972222,4.0,16.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
25.34_59.46,59.45694444,25.3375,2.0,11.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
11.56_59.33,59.33194444,11.55972222,4.0,13.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
16.68_59.33,59.33194444,16.68194444,4.0,18.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
27.42_59.33,59.33194444,27.41805556,6.0,10.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
12.68_59.21,59.20694444,12.68472222,4.0,16.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
17.93_59.21,59.20694444,17.93194444,4.0,20.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
39.05_59.21,59.20694444,39.05138889,3.0,10.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
15.37_59.08,59.08194444,15.37083333,4.0,19.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
25.31_59.08,59.08194444,25.3125,3.0,12.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
9.43_58.96,58.95694444,9.43472222,4.0,11.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
16.68_58.96,58.95694444,16.68194444,4.0,19.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
26.95_58.96,58.95694444,26.94861111,3.0,12.0,['2018-07-27'],['2018-07-28'],[2],[14232.0],False
9.18_58.83,58.83194444,9.18472222,4.0,11.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
16.96_58.83,58.83194444,16.9625,4.0,19.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
37.87_58.83,58.83194444,37.87083333,4.0,11.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
17.08_58.69,58.69027778,17.08194444,4.0,22.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
37.74_58.7,58.69861111,37.74027778,1.0,12.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
23.92_58.58,58.58194444,23.91527778,2.0,13.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
38.93_58.58,58.58194444,38.92638889,1.0,11.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
24.93_58.46,58.45694444,24.92916667,3.0,13.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
15.78_58.32,58.31527778,15.77916667,4.0,15.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
37.68_58.33,58.33194444,37.67638889,1.0,11.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
16.18_58.21,58.20694444,16.18194444,4.0,19.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
39.68_58.21,58.20694444,39.67638889,1.0,13.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
16.43_58.08,58.08194444,16.43194444,4.0,22.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
16.31_57.96,57.95972222,16.30694444,4.0,21.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
39.68_57.96,57.95972222,39.67638889,1.0,11.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
15.31_57.83,57.83472222,15.30972222,4.0,13.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
35.85_57.83,57.83472222,35.84583333,4.0,10.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
13.74_57.71,57.70972222,13.74305556,4.0,14.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
25.47_57.71,57.70972222,25.47083333,3.0,10.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
16.31_57.58,57.58472222,16.30694444,4.0,18.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
35.8_57.58,57.58472222,35.80138889,1.0,11.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
15.18_57.46,57.45972222,15.18472222,4.0,16.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
25.65_57.46,57.45972222,25.65416667,3.0,10.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
13.31_57.33,57.33472222,13.30972222,4.0,13.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
22.59_57.33,57.33472222,22.59305556,3.0,10.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
16.06_57.21,57.20972222,16.05694444,4.0,20.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
14.82_57.08,57.08472222,14.81805556,4.0,16.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
24.55_57.08,57.08472222,24.55416667,4.0,14.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
13.81_56.96,56.95972222,13.80972222,4.0,16.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
23.57_56.96,56.95972222,23.57083333,4.0,14.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
13.71_56.83,56.83472222,13.7125,4.0,16.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
23.68_56.83,56.83472222,23.68194444,4.0,14.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
13.18_56.71,56.70972222,13.18472222,4.0,16.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
22.81_56.7,56.69583333,22.80694444,3.0,14.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
12.98_56.56,56.55972222,12.98194444,4.0,12.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
22.68_56.58,56.58472222,22.68194444,3.0,13.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
14.06_56.46,56.45972222,14.05972222,4.0,19.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
24.19_56.42,56.41527778,24.19027778,6.0,12.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
10.52_56.33,56.33472222,10.52361111,2.0,13.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
22.2_56.28,56.28194444,22.20416667,3.0,13.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
9.57_56.2,56.19861111,9.57083333,6.0,11.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
22.4_56.19,56.1875,22.39861111,3.0,12.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
13.3_56.06,56.0625,13.29861111,3.0,14.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
25.83_55.94,55.94027778,25.83194444,1.0,10.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
9.81_55.83,55.83472222,9.80972222,6.0,14.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
13.41_55.71,55.70972222,13.4125,2.0,14.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
25.95_55.46,55.45972222,25.94861111,4.0,11.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
11.49_55.25,55.24861111,11.4875,1.0,12.0,['2018-07-26'],['2018-07-28'],[3],[14232.0],False
18.18_54.83,54.82916667,18.18194444,2.0,10.0,['2018-07-27'],['2018-07-27'],[1],[14232.0],False
9.31_54.58,54.58472222,9.30972222,2.0,13.0,"['2018-07-27', '2018-08-02', '2018-08-15']","['2018-07-27', '2018-08-02', '2018-08-15']","[1, 1, 1]","[14232.0, 15001.0, 15488.0]",False
9.83_54.46,54.45972222,9.82916667,6.0,13.0,"['2018-07-27', '2018-08-02', '2018-08-15']","['2018-07-27', '2018-08-02', '2018-08-15']","[1, 1, 1]","[14232.0, 15001.0, 15488.0]",False
10.81_54.21,54.20972222,10.80972222,1.0,12.0,"['2018-07-23', '2018-08-02', '2018-08-15', '2018-10-13']","['2018-08-07', '2018-08-02', '2018-08-15', '2018-10-13']","[4, 1, 1, 1]","[14232.0, 15001.0, 15488.0, 16622.0]",False
10.18_54.04,54.04027778,10.18472222,4.0,13.0,"['2018-07-27', '2018-08-02', '2018-10-13']","['2018-07-27', '2018-08-02', '2018-10-13']","[1, 1, 1]","[14232.0, 15001.0, 16622.0]",False
9.12_53.96,53.9625,9.11805556,2.0,13.0,"['2018-07-27', '2018-08-02', '2018-10-13']","['2018-07-27', '2018-08-02', '2018-10-13']","[1, 1, 1]","[14232.0, 15001.0, 16622.0]",False
15.2_53.92,53.92361111,15.19861111,6.0,12.0,"['2018-07-27', '2018-08-02', '2018-10-13']","['2018-07-27', '2018-08-02', '2018-10-13']","[1, 1, 1]","[14232.0, 15001.0, 16622.0]",False
13.93_53.79,53.7875,13.93472222,2.0,11.0,"['2018-07-23', '2018-07-15', '2018-08-02', '2018-10-13']","['2018-08-07', '2018-07-15', '2018-08-02', '2018-10-13']","[7, 1, 1, 1]","[14232.0, 14285.0, 15001.0, 16622.0]",False
12.03_53.71,53.70694444,12.02916667,1.0,11.0,"['2018-07-23', '2018-07-15', '2018-08-02', '2018-10-13']","['2018-08-07', '2018-07-15', '2018-08-02', '2018-10-13']","[7, 1, 1, 1]","[14232.0, 14285.0, 15001.0, 16622.0]",False
8.81_53.59,53.5875,8.80972222,2.0,13.0,"['2018-07-23', '2018-07-15', '2018-08-02', '2018-10-13']","['2018-08-07', '2018-07-15', '2018-08-02', '2018-10-13']","[7, 1, 1, 1]","[14232.0, 14285.0, 15001.0, 16622.0]",False
13.4_53.59,53.5875,13.40138889,2.0,12.0,"['2018-07-23', '2018-07-15', '2018-08-02', '2018-10-13']","['2018-08-07', '2018-07-15', '2018-08-02', '2018-10-13']","[7, 1, 1, 1]","[14232.0, 14285.0, 15001.0, 16622.0]",False
8.68_53.46,53.4625,8.68472222,2.0,13.0,"['2018-07-23', '2018-07-15', '2018-08-02', '2018-10-13']","['2018-08-07', '2018-07-15', '2018-08-02', '2018-10-13']","[7, 1, 1, 1]","[14232.0, 14285.0, 15001.0, 16622.0]",False
13.39_53.42,53.42361111,13.3875,1.0,13.0,"['2018-07-23', '2018-07-15', '2018-08-02', '2018-10-13']","['2018-08-07', '2018-07-15', '2018-08-02', '2018-10-13']","[7, 1, 1, 1]","[14232.0, 14285.0, 15001.0, 16622.0]",False
9.08_53.34,53.3375,9.08194444,2.0,13.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-02']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
14.59_53.34,53.3375,14.5875,3.0,10.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-02']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
10.6_53.21,53.2125,10.60416667,4.0,14.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-02']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
6.31_53.09,53.0875,6.3125,2.0,10.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-03']","[7, 1, 2]","[14232.0, 14285.0, 15001.0]",False
11.43_53.09,53.0875,11.43472222,2.0,14.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-03']","[7, 1, 2]","[14232.0, 14285.0, 15001.0]",False
10.18_52.96,52.9625,10.18472222,4.0,17.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-03']","[7, 1, 2]","[14232.0, 14285.0, 15001.0]",False
9.73_52.84,52.8375,9.73194444,4.0,14.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-02']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
6.31_52.71,52.7125,6.3125,2.0,10.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-02']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
11.18_52.71,52.70972222,11.18472222,4.0,13.0,"['2018-07-23', '2018-07-15', '2018-08-02']","['2018-08-07', '2018-07-15', '2018-08-02']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
7.75_52.57,52.57361111,7.74861111,4.0,14.0,"['2018-07-23', '2018-07-15', '2018-08-03']","['2018-08-07', '2018-07-15', '2018-08-03']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
12.56_52.59,52.5875,12.55972222,2.0,15.0,"['2018-07-23', '2018-07-15', '2018-08-03']","['2018-08-07', '2018-07-15', '2018-08-03']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
8.78_52.4,52.39861111,8.77638889,4.0,12.0,"['2018-07-23', '2018-07-15', '2018-08-03']","['2018-08-07', '2018-07-15', '2018-08-03']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
13.31_52.46,52.4625,13.30972222,6.0,14.0,"['2018-07-23', '2018-07-15', '2018-08-03']","['2018-08-07', '2018-07-15', '2018-08-03']","[7, 1, 1]","[14232.0, 14285.0, 15001.0]",False
7.83_52.34,52.3375,7.83472222,2.0,14.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-05', '2018-08-07', '2018-07-15', '2018-08-03']","[1, 7, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
12.59_52.34,52.3375,12.5875,4.0,17.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-05', '2018-08-07', '2018-07-15', '2018-08-03']","[1, 7, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
8.56_52.21,52.20694444,8.55694444,6.0,13.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-05', '2018-08-07', '2018-07-15', '2018-08-03']","[1, 7, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
13.15_52.21,52.2125,13.15138889,4.0,16.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-05', '2018-08-07', '2018-07-15', '2018-08-03']","[1, 7, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
0.44_52.09,52.0875,0.4375,6.0,12.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
9.56_52.07,52.07083333,9.55972222,1.0,14.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
15.31_52.09,52.0875,15.30972222,4.0,14.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
1.31_51.96,51.9625,1.30972222,6.0,11.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
9.93_51.96,51.9625,9.93472222,1.0,14.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
15.31_51.96,51.9625,15.30972222,4.0,13.0,"['2018-07-05', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
8.94_51.84,51.8375,8.9375,4.0,12.0,"['2018-07-06', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
13.88_51.83,51.82916667,13.88472222,4.0,10.0,"['2018-07-06', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
7.38_51.71,51.70972222,7.37638889,6.0,13.0,"['2018-07-06', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
12.48_51.71,51.7125,12.48472222,4.0,18.0,"['2018-07-06', '2018-07-23', '2018-07-15', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-07-15', '2018-08-03']","[3, 8, 1, 2]","[13940.0, 14232.0, 14285.0, 15001.0]",False
5.69_51.57,51.56527778,5.69305556,6.0,13.0,"['2018-07-06', '2018-07-23', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-08-03']","[3, 7, 2]","[13940.0, 14232.0, 15001.0]",False
10.26_51.52,51.51805556,10.25972222,6.0,13.0,"['2018-07-06', '2018-07-23', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-08-03']","[3, 7, 2]","[13940.0, 14232.0, 15001.0]",False
14.81_51.59,51.5875,14.80972222,4.0,13.0,"['2018-07-06', '2018-07-23', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-08-03']","[3, 7, 2]","[13940.0, 14232.0, 15001.0]",False
6.69_51.46,51.4625,6.6875,6.0,14.0,"['2018-07-06', '2018-07-23', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-08-03']","[3, 7, 2]","[13940.0, 14232.0, 15001.0]",False
11.28_51.46,51.4625,11.28472222,6.0,15.0,"['2018-07-06', '2018-07-23', '2018-08-02']","['2018-07-08', '2018-08-07', '2018-08-03']","[3, 7, 2]","[13940.0, 14232.0, 15001.0]",False
5.9_51.22,51.21527778,5.90138889,4.0,13.0,"['2018-07-06', '2018-07-23']","['2018-07-08', '2018-07-27']","[3, 4]","[13940.0, 14232.0]",False
10.8_51.34,51.3375,10.79583333,1.0,17.0,"['2018-07-06', '2018-07-23']","['2018-07-08', '2018-07-27']","[3, 4]","[13940.0, 14232.0]",False
15.31_51.34,51.3375,15.30972222,4.0,12.0,"['2018-07-06', '2018-07-23']","['2018-07-08', '2018-07-27']","[3, 4]","[13940.0, 14232.0]",False
7.56_51.21,51.2125,7.5625,4.0,17.0,"['2018-07-06', '2018-07-23']","['2018-07-08', '2018-07-27']","[3, 4]","[13940.0, 14232.0]",False
13.76_51.21,51.2125,13.75694444,4.0,13.0,"['2018-07-06', '2018-07-23']","['2018-07-08', '2018-07-27']","[3, 4]","[13940.0, 14232.0]",False
0.07_51.09,51.0875,0.06527778,2.0,15.0,"['2018-07-01', '2018-07-07', '2018-07-25', '2020-06-24', '2020-07-31', '2020-08-07']","['2018-07-01', '2018-07-08', '2018-07-26', '2020-06-25', '2020-07-31', '2020-08-12']","[1, 2, 2, 2, 1, 6]","[13791.0, 13940.0, 14232.0, 28298.0, 29622.0, 29988.0]",False
7.27_51.09,51.0875,7.26527778,2.0,23.0,"['2018-07-01', '2018-07-07', '2018-07-25', '2020-06-24', '2020-07-31', '2020-08-07']","['2018-07-01', '2018-07-08', '2018-07-26', '2020-06-25', '2020-07-31', '2020-08-12']","[1, 2, 2, 2, 1, 6]","[13791.0, 13940.0, 14232.0, 28298.0, 29622.0, 29988.0]",False
13.26_51.03,51.03472222,13.25694444,4.0,13.0,"['2018-07-01', '2018-07-07', '2018-07-25', '2020-06-24', '2020-07-31', '2020-08-07']","['2018-07-01', '2018-07-08', '2018-07-26', '2020-06-25', '2020-07-31', '2020-08-12']","[1, 2, 2, 2, 1, 6]","[13791.0, 13940.0, 14232.0, 28298.0, 29622.0, 29988.0]",False
0.45_50.96,50.9625,0.44583333,2.0,13.0,"['2018-07-01', '2018-07-07', '2018-07-25', '2020-06-24', '2020-07-31', '2020-08-07']","['2018-07-01', '2018-07-08', '2018-07-26', '2020-06-25', '2020-07-31', '2020-08-12']","[1, 2, 2, 2, 1, 6]","[13791.0, 13940.0, 14232.0, 28298.0, 29622.0, 29988.0]",False
7.58_50.96,50.9625,7.58194444,4.0,18.0,"['2018-07-01', '2018-07-07', '2018-07-25', '2020-06-24', '2020-07-31', '2020-08-07']","['2018-07-01', '2018-07-08', '2018-07-26', '2020-06-25', '2020-07-31', '2020-08-12']","[1, 2, 2, 2, 1, 6]","[13791.0, 13940.0, 14232.0, 28298.0, 29622.0, 29988.0]",False
13.34_50.93,50.92916667,13.3375,6.0,10.0,"['2018-07-01', '2018-07-07', '2018-07-25', '2020-06-24', '2020-07-31', '2020-08-07']","['2018-07-01', '2018-07-08', '2018-07-26', '2020-06-25', '2020-07-31', '2020-08-12']","[1, 2, 2, 2, 1, 6]","[13791.0, 13940.0, 14232.0, 28298.0, 29622.0, 29988.0]",False
5.19_49.59,49.59027778,5.1875,2.0,25.0,"['2018-07-26', '2019-07-23', '2020-08-06', '2020-09-14']","['2018-07-26', '2019-07-25', '2020-08-12', '2020-09-14']","[1, 2, 7, 1]","[14232.0, 20651.0, 29988.0, 31776.0]",False
5.19_49.47,49.46527778,5.1875,2.0,26.0,"['2018-07-26', '2019-07-23', '2020-08-06', '2020-09-14']","['2018-07-26', '2019-07-25', '2020-08-12', '2020-09-14']","[1, 2, 7, 1]","[14232.0, 20651.0, 29988.0, 31776.0]",False
3.05_49.09,49.09027778,3.05138889,1.0,22.0,"['2018-07-26', '2019-07-24', '2020-07-31', '2020-08-06']","['2018-07-26', '2019-07-25', '2020-07-31', '2020-08-12']","[1, 2, 1, 7]","[14232.0, 20651.0, 29495.0, 29988.0]",False
32.88_49.08,49.07638889,32.87916667,1.0,12.0,"['2018-07-26', '2019-07-24', '2020-07-31', '2020-08-06']","['2018-07-26', '2019-07-25', '2020-07-31', '2020-08-12']","[1, 2, 1, 7]","[14232.0, 20651.0, 29495.0, 29988.0]",False
4.9_48.97,48.96527778,4.90138889,1.0,27.0,"['2018-07-26', '2019-07-24', '2020-07-31', '2020-08-06']","['2018-07-26', '2019-07-25', '2020-07-31', '2020-08-12']","[1, 2, 1, 7]","[14232.0, 20651.0, 29495.0, 29988.0]",False
0.47_48.84,48.84027778,0.46527778,2.0,13.0,"['2018-07-26', '2019-07-23', '2020-07-31', '2020-08-06']","['2018-07-26', '2019-07-25', '2020-07-31', '2020-08-12']","[1, 3, 1, 7]","[14232.0, 20651.0, 29495.0, 29988.0]",False
6.44_48.82,48.82361111,6.4375,1.0,22.0,"['2018-07-26', '2019-07-23', '2020-07-31', '2020-08-06']","['2018-07-26', '2019-07-25', '2020-07-31', '2020-08-12']","[1, 3, 1, 7]","[14232.0, 20651.0, 29495.0, 29988.0]",False
0.19_48.72,48.71527778,0.1875,2.0,12.0,"['2018-07-26', '2019-07-23', '2020-07-31', '2020-08-06']","['2018-07-26', '2019-07-25', '2020-07-31', '2020-08-12']","[1, 3, 1, 7]","[14232.0, 20651.0, 29495.0, 29988.0]",False
5.94_48.72,48.71527778,5.9375,1.0,21.0,"['2018-07-26', '2019-07-23', '2020-07-31', '2020-08-06']","['2018-07-26', '2019-07-25', '2020-07-31', '2020-08-12']","[1, 3, 1, 7]","[14232.0, 20651.0, 29495.0, 29988.0]",False
1.4_47.31,47.30694444,1.40416667,4.0,20.0,"['2016-09-13', '2018-08-05', '2018-09-17', '2019-07-23', '2020-07-30', '2020-08-06', '2020-09-14']","['2016-09-13', '2018-08-06', '2018-09-17', '2019-07-25', '2020-07-30', '2020-08-11', '2020-09-14']","[1, 2, 1, 3, 1, 6, 1]","[5844.0, 14232.0, 16039.0, 20651.0, 29495.0, 29988.0, 31776.0]",False
6.04_47.34,47.34027778,6.0375,2.0,25.0,"['2016-09-13', '2018-08-05', '2018-09-17', '2019-07-23', '2020-07-30', '2020-08-06', '2020-09-14']","['2016-09-13', '2018-08-06', '2018-09-17', '2019-07-25', '2020-07-30', '2020-08-11', '2020-09-14']","[1, 2, 1, 3, 1, 6, 1]","[5844.0, 14232.0, 16039.0, 20651.0, 29495.0, 29988.0, 31776.0]",False
2.05_47.22,47.21527778,2.05138889,6.0,21.0,"['2016-09-13', '2018-08-05', '2018-09-17', '2019-07-23', '2020-07-30', '2020-08-06', '2020-09-14']","['2016-09-13', '2018-08-06', '2018-09-17', '2019-07-25', '2020-07-30', '2020-08-11', '2020-09-14']","[1, 2, 1, 3, 1, 6, 1]","[5844.0, 14232.0, 16039.0, 20651.0, 29495.0, 29988.0, 31776.0]",False
7.5_47.22,47.21527778,7.50416667,6.0,12.0,"['2016-09-13', '2018-08-05', '2018-09-17', '2019-07-23', '2020-07-30', '2020-08-06', '2020-09-14']","['2016-09-13', '2018-08-06', '2018-09-17', '2019-07-25', '2020-07-30', '2020-08-11', '2020-09-14']","[1, 2, 1, 3, 1, 6, 1]","[5844.0, 14232.0, 16039.0, 20651.0, 29495.0, 29988.0, 31776.0]",False
4.56_47.09,47.09027778,4.5625,2.0,22.0,"['2016-09-13', '2018-08-05', '2018-09-17', '2019-07-23', '2020-07-30', '2020-08-06', '2020-09-14']","['2016-09-13', '2018-08-06', '2018-09-17', '2019-07-25', '2020-07-30', '2020-08-11', '2020-09-14']","[1, 2, 1, 3, 1, 6, 1]","[5844.0, 14232.0, 16039.0, 20651.0, 29495.0, 29988.0, 31776.0]",False
1.0_46.96,46.9625,1.00416667,1.0,21.0,"['2016-09-13', '2018-08-05', '2018-09-17', '2019-07-23', '2020-07-30', '2020-08-06', '2020-09-14']","['2016-09-13', '2018-08-06', '2018-09-17', '2019-07-25', '2020-07-30', '2020-08-11', '2020-09-14']","[1, 2, 1, 3, 1, 6, 1]","[5844.0, 14232.0, 16039.0, 20651.0, 29495.0, 29988.0, 31776.0]",False
5.56_46.97,46.96527778,5.5625,1.0,25.0,"['2016-09-13', '2018-08-05', '2018-09-17', '2019-07-23', '2020-07-30', '2020-08-06', '2020-09-14']","['2016-09-13', '2018-08-06', '2018-09-17', '2019-07-25', '2020-07-30', '2020-08-11', '2020-09-14']","[1, 2, 1, 3, 1, 6, 1]","[5844.0, 14232.0, 16039.0, 20651.0, 29495.0, 29988.0, 31776.0]",False
3.69_46.84,46.84027778,3.6875,2.0,20.0,"['2016-09-07', '2016-09-12', '2018-08-04', '2018-09-17', '2019-07-23', '2020-07-30', '2020-08-06', '2020-09-14']","['2016-09-07', '2016-09-12', '2018-08-06', '2018-09-17', '2019-07-25', '2020-07-30', '2020-08-11', '2020-09-14']","[1, 1, 3, 1, 3, 1, 6, 1]","[5799.0, 6038.0, 14232.0, 16039.0, 20651.0, 29495.0, 29988.0, 31776.0]",False
